Index    Total    Letter
1        84.49      B
2        86.32      B
3        71.54      C
4        94.66      A
5        88.60      B
6        54.89      F
7        60.57      D
8        93.61      A
9        83.28      B
10       80.71      B
11       82.26      B
12       85.29      B
13       80.75      B
14       81.32      B
15       87.26      B
16       85.24      B
17       84.54      B
18       80.03      B
19       87.57      B
20       85.19      B
21       93.62      A
22       83.38      B
23       95.68      A
24       67.88      D
25       85.84      B
26       87.94      B
27       72.55      C
28       89.15      B
29       80.59      B
30       80.60      B
31       79.12      C
32       91.29      A
33       70.19      C
34       86.72      B
35       91.62      A
36       91.85      A
37       92.89      A
38       89.33      B
39       87.82      B
40       84.06      B
41       17.27      F
42       89.04      B
43       88.89      B
44       71.33      C
45       87.69      B
46       91.29      A
47       88.26      B
48       89.82      B
49       81.12      B
50       91.86      A
51       75.38      C
52       87.65      B
53       87.90      B
54       95.00      A
55       85.76      B
56       82.22      B
57       87.00      B
58       91.12      A
59       80.68      B
60       77.53      C
61       52.60      F
62       82.11      B
63       83.21      B
64       84.08      B
65       92.99      A
66       93.64      A
67       88.13      B
68       78.63      C
69       83.32      B
70       61.57      D
71       88.25      B
72       74.24      C
73       88.70      B
74       68.98      D
75       77.95      C
76       87.47      B
77       92.31      A
78       91.28      A
79       91.97      A
80       78.58      C
81       74.34      C
82       86.57      B
83       69.75      D
84       85.11      B
85       90.24      A
86       65.20      D
87       92.01      A
88       60.62      D
89       84.77      B
90       73.91      C
91       84.80      B
92       91.60      A
93       90.35      A
94       53.52      F
95       85.31      B
96       90.94      A
97       65.10      D
98       89.54      B
99       52.09      F
100      94.95      A
101      84.95      B
102      83.09      B
103      84.79      B
104      79.61      C
105      77.00      C
106      88.49      B
107      91.13      A
108      89.73      B
109      90.39      A
110      75.55      C
111      72.39      C
112      87.31      B
113      86.67      B
114      84.51      B
115      78.34      C
116      78.46      C
117      72.28      C
118      82.88      B
119      68.15      D
120      83.46      B
121      86.68      B
122      85.50      B
123      78.93      C
124      66.09      D
125      92.24      A
126      90.94      A
127      83.95      B
128      90.64      A
129      76.68      C
130      84.44      B
131      89.64      B
132      90.55      A
133      80.44      B
134      86.67      B
135      73.55      C
136      85.97      B
137      77.23      C
138      93.64      A
139      90.51      A
140      82.39      B
141      91.50      A
142      92.71      A
143      91.48      A
144      80.00      B
145      85.58      B
146      82.94      B
147      89.55      B
148      88.77      B
149      86.38      B
150      77.85      C
151      85.06      B
152      84.91      B
153      85.52      B
154      72.52      C
155      74.74      C
156      92.63      A
157      88.40      B
158      83.84      B
159      83.64      B
160      70.88      C
161      87.29      B
162      70.48      C
163      85.03      B
164      79.56      C
165      49.90      F
166      80.87      B
167      70.46      C
168      90.62      A
169      88.33      B
170      50.82      F
171      63.41      D
172      72.22      C
173      85.96      B
174      73.53      C
175      93.83      A
176      90.78      A
177      88.33      B
178      82.40      B
179      84.10      B
180      79.17      C
181      79.49      C
182      88.79      B
183      73.69      C
184      74.12      C
185      91.69      A
186      86.28      B
187      90.04      A
188      77.06      C
189      91.22      A
190      67.88      D
191      75.54      C
192      85.97      B
193      78.98      C
194      81.97      B
195      87.10      B
196      89.96      B
197      83.00      B
198      82.32      B
199      90.35      A
200      90.38      A
201      45.93      F
202      70.40      C
203      89.20      B
204      85.40      B
205      83.00      B
206      84.44      B
207      45.65      F
208      91.43      A
209      83.86      B
210      81.17      B
211      85.33      B
212      82.02      B
213      80.49      B
214      71.24      C
215      86.93      B
216      81.84      B
217      70.40      C
218      83.41      B
219      58.45      F
220      83.29      B
221      91.66      A
222      83.18      B
223      85.87      B
224      84.69      B
225      88.54      B
226      91.42      A
227      86.97      B
228      87.89      B
229      90.83      A
230      87.90      B
231      72.60      C
232      90.59      A
233      92.99      A
234      82.86      B
235      80.68      B
236      82.98      B
237      85.30      B
238      70.00      C
239      86.24      B
240      68.88      D
241      80.94      B
242      76.49      C
243      39.69      F
244      87.69      B
245      83.91      B
246      81.77      B
247      82.97      B
248      40.89      F
249      82.71      B
250      78.53      C
251      63.89      D
252      91.86      A
253      85.83      B
254      70.62      C
255      92.85      A
256      72.55      C
257      90.85      A
258      36.12      F
259      82.71      B
260      72.74      C
261      89.39      B
262      77.44      C
263      73.84      C
264      90.67      A
265      62.35      D
266      89.40      B
267      37.32      F
268      78.70      C
269      79.52      C
270      56.39      F
271      49.25      F
272      75.12      C
273      78.39      C
274      62.65      D
275      71.70      C
276      49.23      F
277      65.46      D
278      73.39      C
279      79.66      C
280      70.92      C
281      54.58      F
282      74.05      C
283      76.22      C
284      60.97      D
285      83.89      B
286      56.36      F
287      73.59      C
288      58.18      F
289      57.27      F
290      67.06      D
291      73.62      C
292      62.71      D
293      65.10      D
294      50.90      F
295      58.97      F
296      75.03      C
297      69.47      D
298      70.35      C
299      68.54      D
300      47.25      F
